id,stage,train_rmse,val_rmse,val_mae,val_r2,best_epoch,config_json,input_dim,std_rmse
B01_DummyMean,baseline,75004.07650974933,90453.82720042259,59730.33172977114,-0.002924982033708945,0,,,
B02_Ridge,baseline,20852.708331484788,40000.77372772863,21764.200167040606,0.8038666984209475,0,,,
A01_numerico,ablation,32951.97844672913,40121.10249045202,24463.436383698823,0.8026849225540432,3,"{""name"": ""A01_numerico"", ""preprocess"": {""numeric_only"": true, ""scaler"": ""standard"", ""encoding"": ""onehot"", ""feature_engineering"": false, ""add_log_features"": false, ""winsorize"": false, ""min_frequency"": 2, ""target_transform"": ""standard""}, ""model"": {""hidden_layers"": [128, 64], ""activation"": ""relu"", ""dropout"": 0.0, ""batch_norm"": false, ""optimizer"": ""adamw"", ""learning_rate"": 0.001, ""weight_decay"": 0.0001, ""momentum"": 0.9, ""batch_size"": 64, ""max_epochs"": 140, ""patience"": 18, ""min_delta"": 1e-05, ""loss"": ""mse"", ""scheduler"": ""plateau"", ""gradient_clip"": 5.0}}",39.0,
A02_onehot_base,ablation,22310.760529668736,40560.758808657294,20277.786550361958,0.7983367799140434,4,"{""name"": ""A02_onehot_base"", ""preprocess"": {""numeric_only"": false, ""scaler"": ""standard"", ""encoding"": ""onehot"", ""feature_engineering"": false, ""add_log_features"": false, ""winsorize"": false, ""min_frequency"": 2, ""target_transform"": ""standard""}, ""model"": {""hidden_layers"": [128, 64], ""activation"": ""relu"", ""dropout"": 0.0, ""batch_norm"": false, ""optimizer"": ""adamw"", ""learning_rate"": 0.001, ""weight_decay"": 0.0001, ""momentum"": 0.9, ""batch_size"": 64, ""max_epochs"": 140, ""patience"": 18, ""min_delta"": 1e-05, ""loss"": ""mse"", ""scheduler"": ""plateau"", ""gradient_clip"": 5.0}}",286.0,
A03_target_log,ablation,14018.699548355999,35453.048782609745,18054.573286272484,0.8459287054144904,12,"{""name"": ""A03_target_log"", ""preprocess"": {""numeric_only"": false, ""scaler"": ""standard"", ""encoding"": ""onehot"", ""feature_engineering"": false, ""add_log_features"": false, ""winsorize"": false, ""min_frequency"": 2, ""target_transform"": ""log1p""}, ""model"": {""hidden_layers"": [128, 64], ""activation"": ""relu"", ""dropout"": 0.1, ""batch_norm"": true, ""optimizer"": ""adamw"", ""learning_rate"": 0.001, ""weight_decay"": 0.0001, ""momentum"": 0.9, ""batch_size"": 64, ""max_epochs"": 140, ""patience"": 18, ""min_delta"": 1e-05, ""loss"": ""mse"", ""scheduler"": ""plateau"", ""gradient_clip"": 5.0}}",286.0,
A04_robust,ablation,26197.82955226939,50214.034943003455,22219.75560115919,0.6909243465081251,38,"{""name"": ""A04_robust"", ""preprocess"": {""numeric_only"": false, ""scaler"": ""robust"", ""encoding"": ""onehot"", ""feature_engineering"": false, ""add_log_features"": false, ""winsorize"": false, ""min_frequency"": 2, ""target_transform"": ""standard""}, ""model"": {""hidden_layers"": [128, 64], ""activation"": ""relu"", ""dropout"": 0.1, ""batch_norm"": true, ""optimizer"": ""adamw"", ""learning_rate"": 0.001, ""weight_decay"": 0.0001, ""momentum"": 0.9, ""batch_size"": 64, ""max_epochs"": 140, ""patience"": 18, ""min_delta"": 1e-05, ""loss"": ""mse"", ""scheduler"": ""plateau"", ""gradient_clip"": 5.0}}",286.0,
A05_profundo,ablation,30891.910495770808,40824.84496476759,23178.688359533073,0.7957022218157652,2,"{""name"": ""A05_profundo"", ""preprocess"": {""numeric_only"": false, ""scaler"": ""standard"", ""encoding"": ""onehot"", ""feature_engineering"": true, ""add_log_features"": true, ""winsorize"": false, ""min_frequency"": 2, ""target_transform"": ""standard""}, ""model"": {""hidden_layers"": [256, 128, 64], ""activation"": ""relu"", ""dropout"": 0.15, ""batch_norm"": true, ""optimizer"": ""adamw"", ""learning_rate"": 0.001, ""weight_decay"": 0.0001, ""momentum"": 0.9, ""batch_size"": 64, ""max_epochs"": 140, ""patience"": 18, ""min_delta"": 1e-05, ""loss"": ""mse"", ""scheduler"": ""plateau"", ""gradient_clip"": 5.0}}",320.0,
A06_ancho,ablation,39088.26277117537,42248.53163300583,27891.26089194506,0.7812047979532113,1,"{""name"": ""A06_ancho"", ""preprocess"": {""numeric_only"": false, ""scaler"": ""standard"", ""encoding"": ""onehot"", ""feature_engineering"": true, ""add_log_features"": true, ""winsorize"": false, ""min_frequency"": 2, ""target_transform"": ""standard""}, ""model"": {""hidden_layers"": [512, 256], ""activation"": ""relu"", ""dropout"": 0.15, ""batch_norm"": true, ""optimizer"": ""adamw"", ""learning_rate"": 0.001, ""weight_decay"": 0.0001, ""momentum"": 0.9, ""batch_size"": 64, ""max_epochs"": 140, ""patience"": 18, ""min_delta"": 1e-05, ""loss"": ""mse"", ""scheduler"": ""plateau"", ""gradient_clip"": 5.0}}",320.0,
A07_gelu_adamw,ablation,34860.03767786247,38585.68193379749,23514.586144693843,0.8174982995492321,1,"{""name"": ""A07_gelu_adamw"", ""preprocess"": {""numeric_only"": false, ""scaler"": ""standard"", ""encoding"": ""onehot"", ""feature_engineering"": true, ""add_log_features"": true, ""winsorize"": false, ""min_frequency"": 2, ""target_transform"": ""standard""}, ""model"": {""hidden_layers"": [256, 128], ""activation"": ""gelu"", ""dropout"": 0.1, ""batch_norm"": true, ""optimizer"": ""adamw"", ""learning_rate"": 0.001, ""weight_decay"": 0.0001, ""momentum"": 0.9, ""batch_size"": 64, ""max_epochs"": 140, ""patience"": 18, ""min_delta"": 1e-05, ""loss"": ""mse"", ""scheduler"": ""plateau"", ""gradient_clip"": 5.0}}",320.0,
A08_dropout_sin_bn,ablation,27447.710290807925,38826.414297601455,19377.47065260893,0.8152139747039825,3,"{""name"": ""A08_dropout_sin_bn"", ""preprocess"": {""numeric_only"": false, ""scaler"": ""standard"", ""encoding"": ""onehot"", ""feature_engineering"": true, ""add_log_features"": true, ""winsorize"": false, ""min_frequency"": 2, ""target_transform"": ""standard""}, ""model"": {""hidden_layers"": [256, 128], ""activation"": ""relu"", ""dropout"": 0.3, ""batch_norm"": false, ""optimizer"": ""adamw"", ""learning_rate"": 0.001, ""weight_decay"": 0.0001, ""momentum"": 0.9, ""batch_size"": 64, ""max_epochs"": 140, ""patience"": 18, ""min_delta"": 1e-05, ""loss"": ""mse"", ""scheduler"": ""plateau"", ""gradient_clip"": 5.0}}",320.0,
A09_smooth_l1,ablation,30696.738914397276,35096.67012488123,20053.102212943595,0.8490106266177363,2,"{""name"": ""A09_smooth_l1"", ""preprocess"": {""numeric_only"": false, ""scaler"": ""standard"", ""encoding"": ""onehot"", ""feature_engineering"": true, ""add_log_features"": true, ""winsorize"": false, ""min_frequency"": 2, ""target_transform"": ""standard""}, ""model"": {""hidden_layers"": [256, 128], ""activation"": ""relu"", ""dropout"": 0.1, ""batch_norm"": true, ""optimizer"": ""adamw"", ""learning_rate"": 0.001, ""weight_decay"": 0.0001, ""momentum"": 0.9, ""batch_size"": 64, ""max_epochs"": 140, ""patience"": 18, ""min_delta"": 1e-05, ""loss"": ""smooth_l1"", ""scheduler"": ""plateau"", ""gradient_clip"": 5.0}}",320.0,
A10_ordinal_winsor,ablation,17060.747002720145,46921.409734826084,19026.307953169202,0.7301287262061585,42,"{""name"": ""A10_ordinal_winsor"", ""preprocess"": {""numeric_only"": false, ""scaler"": ""robust"", ""encoding"": ""ordinal"", ""feature_engineering"": true, ""add_log_features"": true, ""winsorize"": true, ""min_frequency"": 2, ""target_transform"": ""standard""}, ""model"": {""hidden_layers"": [256, 128], ""activation"": ""silu"", ""dropout"": 0.1, ""batch_norm"": true, ""optimizer"": ""adamw"", ""learning_rate"": 0.001, ""weight_decay"": 0.0001, ""momentum"": 0.9, ""batch_size"": 64, ""max_epochs"": 140, ""patience"": 18, ""min_delta"": 1e-05, ""loss"": ""mse"", ""scheduler"": ""plateau"", ""gradient_clip"": 5.0}}",284.0,
F_T109,finalist,,26680.51992356596,15883.379491064421,0.8774321358054111,12,"{""name"": ""T109"", ""preprocess"": {""numeric_only"": false, ""scaler"": ""standard"", ""encoding"": ""onehot"", ""feature_engineering"": true, ""add_log_features"": false, ""winsorize"": false, ""min_frequency"": null, ""target_transform"": ""log1p""}, ""model"": {""hidden_layers"": [512, 128, 128], ""activation"": ""tanh"", ""dropout"": 0.07693697465502221, ""batch_norm"": false, ""optimizer"": ""adamw"", ""learning_rate"": 0.010497107988343921, ""weight_decay"": 1.8065532921157753e-07, ""momentum"": 0.6410128642491457, ""batch_size"": 64, ""max_epochs"": 200, ""patience"": 22, ""min_delta"": 1e-05, ""loss"": ""mse"", ""scheduler"": ""plateau"", ""gradient_clip"": 5.0}}",,7843.992197310759
F_T171,finalist,,26970.00467599036,17140.34079589496,0.8757286496836757,17,"{""name"": ""T171"", ""preprocess"": {""numeric_only"": false, ""scaler"": ""standard"", ""encoding"": ""onehot"", ""feature_engineering"": false, ""add_log_features"": false, ""winsorize"": false, ""min_frequency"": null, ""target_transform"": ""log1p""}, ""model"": {""hidden_layers"": [512, 64, 128, 128], ""activation"": ""tanh"", ""dropout"": 0.011519223866763519, ""batch_norm"": false, ""optimizer"": ""rmsprop"", ""learning_rate"": 0.0010246916730815012, ""weight_decay"": 4.792848023650164e-07, ""momentum"": 0.7935815714037167, ""batch_size"": 64, ""max_epochs"": 200, ""patience"": 22, ""min_delta"": 1e-05, ""loss"": ""smooth_l1"", ""scheduler"": ""cosine"", ""gradient_clip"": 5.0}}",,6827.461696188535
F_T115,finalist,,27718.16087423449,16959.69546545608,0.8684333129520013,16,"{""name"": ""T115"", ""preprocess"": {""numeric_only"": false, ""scaler"": ""standard"", ""encoding"": ""onehot"", ""feature_engineering"": false, ""add_log_features"": false, ""winsorize"": false, ""min_frequency"": null, ""target_transform"": ""log1p""}, ""model"": {""hidden_layers"": [512, 128, 128, 256], ""activation"": ""tanh"", ""dropout"": 0.1603687090255656, ""batch_norm"": false, ""optimizer"": ""adamw"", ""learning_rate"": 0.008346215434048166, ""weight_decay"": 2.7597147292861404e-06, ""momentum"": 0.802376374488231, ""batch_size"": 64, ""max_epochs"": 200, ""patience"": 22, ""min_delta"": 1e-05, ""loss"": ""mse"", ""scheduler"": ""plateau"", ""gradient_clip"": 5.0}}",,6934.029420284503
