number,value,datetime_start,datetime_complete,duration,params_activation,params_add_log_features,params_batch_norm,params_batch_size,params_dropout,params_encoding,params_feature_engineering,params_layers,params_learning_rate,params_loss,params_min_frequency,params_momentum,params_optimizer,params_scaler,params_scheduler,params_target_transform,params_weight_decay,params_width_0,params_width_1,params_width_2,params_width_3,params_winsorize,user_attrs_candidate,user_attrs_median_best_epoch,user_attrs_std_rmse,state
0,57648.43635658129,2026-08-17 17:07:08.959224,2026-08-17 17:07:16.881552,0 days 00:00:07.922328,silu,False,True,128,0.12024002899678272,onehot,True,2,0.0004863948186024201,mse,,0.6417296864356511,sgd,robust,cosine,standard,0.00018870126893354755,32,512.0,,,True,"{'name': 'T000', 'preprocess': {'numeric_only': False, 'scaler': 'robust', 'encoding': 'onehot', 'feature_engineering': True, 'add_log_features': False, 'winsorize': True, 'min_frequency': None, 'target_transform': 'standard'}, 'model': {'hidden_layers': [32, 512], 'activation': 'silu', 'dropout': 0.12024002899678272, 'batch_norm': True, 'optimizer': 'sgd', 'learning_rate': 0.0004863948186024201, 'weight_decay': 0.00018870126893354755, 'momentum': 0.6417296864356511, 'batch_size': 128, 'max_epochs': 200, 'patience': 22, 'min_delta': 1e-05, 'loss': 'mse', 'scheduler': 'cosine', 'gradient_clip': 5.0}}",168.0,16475.143177840542,COMPLETE
1,68650.18897739094,2026-08-17 17:07:16.897474,2026-08-17 17:07:25.953259,0 days 00:00:09.055785,gelu,False,True,256,0.18600597184052983,ordinal,False,1,5.046153468161878e-05,mse,2.0,0.5688418001415767,adam,robust,cosine,standard,0.0005186687851949507,512,,,,True,"{'name': 'T001', 'preprocess': {'numeric_only': False, 'scaler': 'robust', 'encoding': 'ordinal', 'feature_engineering': False, 'add_log_features': False, 'winsorize': True, 'min_frequency': 2, 'target_transform': 'standard'}, 'model': {'hidden_layers': [512], 'activation': 'gelu', 'dropout': 0.18600597184052983, 'batch_norm': True, 'optimizer': 'adam', 'learning_rate': 5.046153468161878e-05, 'weight_decay': 0.0005186687851949507, 'momentum': 0.5688418001415767, 'batch_size': 256, 'max_epochs': 200, 'patience': 22, 'min_delta': 1e-05, 'loss': 'mse', 'scheduler': 'cosine', 'gradient_clip': 5.0}}",177.0,1782.7999603723229,COMPLETE
2,31064.07458059481,2026-08-17 17:07:25.964668,2026-08-17 17:07:28.452293,0 days 00:00:02.487625,tanh,True,False,256,0.11080866704194858,ordinal,False,1,0.00021169936614713196,mse,,0.5812673782110498,rmsprop,standard,cosine,standard,0.0002089328192658584,128,,,,True,"{'name': 'T002', 'preprocess': {'numeric_only': False, 'scaler': 'standard', 'encoding': 'ordinal', 'feature_engineering': False, 'add_log_features': True, 'winsorize': True, 'min_frequency': None, 'target_transform': 'standard'}, 'model': {'hidden_layers': [128], 'activation': 'tanh', 'dropout': 0.11080866704194858, 'batch_norm': False, 'optimizer': 'rmsprop', 'learning_rate': 0.00021169936614713196, 'weight_decay': 0.0002089328192658584, 'momentum': 0.5812673782110498, 'batch_size': 256, 'max_epochs': 200, 'patience': 22, 'min_delta': 1e-05, 'loss': 'mse', 'scheduler': 'cosine', 'gradient_clip': 5.0}}",39.0,6762.636008380813,COMPLETE
3,658692.2164389328,2026-08-17 17:07:28.464886,2026-08-17 17:07:31.789067,0 days 00:00:03.324181,gelu,False,False,256,0.28720327130901135,onehot,True,1,2.4528521624705682e-05,smooth_l1,,0.6234623234731078,sgd,robust,cosine,log1p,9.103251490269794e-06,32,,,,True,"{'name': 'T003', 'preprocess': {'numeric_only': False, 'scaler': 'robust', 'encoding': 'onehot', 'feature_engineering': True, 'add_log_features': False, 'winsorize': True, 'min_frequency': None, 'target_transform': 'log1p'}, 'model': {'hidden_layers': [32], 'activation': 'gelu', 'dropout': 0.28720327130901135, 'batch_norm': False, 'optimizer': 'sgd', 'learning_rate': 2.4528521624705682e-05, 'weight_decay': 9.103251490269794e-06, 'momentum': 0.6234623234731078, 'batch_size': 256, 'max_epochs': 200, 'patience': 22, 'min_delta': 1e-05, 'loss': 'smooth_l1', 'scheduler': 'cosine', 'gradient_clip': 5.0}}",126.0,339372.90613191173,COMPLETE
4,29710.825814220192,2026-08-17 17:07:31.799629,2026-08-17 17:07:38.974797,0 days 00:00:07.175168,leaky_relu,True,True,32,0.19143936716874252,ordinal,True,4,0.0004243150543184373,smooth_l1,5.0,0.5839810135133964,rmsprop,standard,plateau,log1p,7.59633766891274e-07,64,32.0,128.0,512.0,True,"{'name': 'T004', 'preprocess': {'numeric_only': False, 'scaler': 'standard', 'encoding': 'ordinal', 'feature_engineering': True, 'add_log_features': True, 'winsorize': True, 'min_frequency': 5, 'target_transform': 'log1p'}, 'model': {'hidden_layers': [64, 32, 128, 512], 'activation': 'leaky_relu', 'dropout': 0.19143936716874252, 'batch_norm': True, 'optimizer': 'rmsprop', 'learning_rate': 0.0004243150543184373, 'weight_decay': 7.59633766891274e-07, 'momentum': 0.5839810135133964, 'batch_size': 32, 'max_epochs': 200, 'patience': 22, 'min_delta': 1e-05, 'loss': 'smooth_l1', 'scheduler': 'plateau', 'gradient_clip': 5.0}}",22.0,9627.950457323039,COMPLETE
5,55028.18952316896,2026-08-17 17:07:38.984015,2026-08-17 17:07:54.924886,0 days 00:00:15.940871,silu,True,True,16,0.17277285632741435,ordinal,True,3,0.0012034538812807562,smooth_l1,5.0,0.9436405715645715,sgd,robust,plateau,log1p,3.208111472702027e-07,128,32.0,64.0,,False,"{'name': 'T005', 'preprocess': {'numeric_only': False, 'scaler': 'robust', 'encoding': 'ordinal', 'feature_engineering': True, 'add_log_features': True, 'winsorize': False, 'min_frequency': 5, 'target_transform': 'log1p'}, 'model': {'hidden_layers': [128, 32, 64], 'activation': 'silu', 'dropout': 0.17277285632741435, 'batch_norm': True, 'optimizer': 'sgd', 'learning_rate': 0.0012034538812807562, 'weight_decay': 3.208111472702027e-07, 'momentum': 0.9436405715645715, 'batch_size': 16, 'max_epochs': 200, 'patience': 22, 'min_delta': 1e-05, 'loss': 'smooth_l1', 'scheduler': 'plateau', 'gradient_clip': 5.0}}",63.0,6467.671231016803,COMPLETE
6,43302.48623559084,2026-08-17 17:07:54.941412,2026-08-17 17:08:00.083018,0 days 00:00:05.141606,silu,False,False,128,0.13308125227798429,onehot,True,2,0.0006930016307106156,smooth_l1,,0.7877148975591598,adamw,robust,cosine,standard,0.009250434315815159,128,256.0,,,False,"{'name': 'T006', 'preprocess': {'numeric_only': False, 'scaler': 'robust', 'encoding': 'onehot', 'feature_engineering': True, 'add_log_features': False, 'winsorize': False, 'min_frequency': None, 'target_transform': 'standard'}, 'model': {'hidden_layers': [128, 256], 'activation': 'silu', 'dropout': 0.13308125227798429, 'batch_norm': False, 'optimizer': 'adamw', 'learning_rate': 0.0006930016307106156, 'weight_decay': 0.009250434315815159, 'momentum': 0.7877148975591598, 'batch_size': 128, 'max_epochs': 200, 'patience': 22, 'min_delta': 1e-05, 'loss': 'smooth_l1', 'scheduler': 'cosine', 'gradient_clip': 5.0}}",110.0,11800.900226972964,COMPLETE
7,31694.765975646773,2026-08-17 17:08:00.083018,2026-08-17 17:08:04.382907,0 days 00:00:04.299889,gelu,True,False,64,0.20778427710550876,onehot,True,4,0.003452919089571216,smooth_l1,2.0,0.8894021983172347,sgd,standard,none,standard,0.001339674954829045,128,32.0,128.0,256.0,True,"{'name': 'T007', 'preprocess': {'numeric_only': False, 'scaler': 'standard', 'encoding': 'onehot', 'feature_engineering': True, 'add_log_features': True, 'winsorize': True, 'min_frequency': 2, 'target_transform': 'standard'}, 'model': {'hidden_layers': [128, 32, 128, 256], 'activation': 'gelu', 'dropout': 0.20778427710550876, 'batch_norm': False, 'optimizer': 'sgd', 'learning_rate': 0.003452919089571216, 'weight_decay': 0.001339674954829045, 'momentum': 0.8894021983172347, 'batch_size': 64, 'max_epochs': 200, 'patience': 22, 'min_delta': 1e-05, 'loss': 'smooth_l1', 'scheduler': 'none', 'gradient_clip': 5.0}}",27.0,8620.361108932751,COMPLETE
8,29447.762999698414,2026-08-17 17:08:04.391265,2026-08-17 17:08:24.442510,0 days 00:00:20.051245,tanh,True,False,16,0.2836194621876517,ordinal,True,4,0.0039578995706524445,smooth_l1,2.0,0.5685478902087351,adam,standard,none,log1p,2.237315613830211e-07,256,32.0,512.0,128.0,False,"{'name': 'T008', 'preprocess': {'numeric_only': False, 'scaler': 'standard', 'encoding': 'ordinal', 'feature_engineering': True, 'add_log_features': True, 'winsorize': False, 'min_frequency': 2, 'target_transform': 'log1p'}, 'model': {'hidden_layers': [256, 32, 512, 128], 'activation': 'tanh', 'dropout': 0.2836194621876517, 'batch_norm': False, 'optimizer': 'adam', 'learning_rate': 0.0039578995706524445, 'weight_decay': 2.237315613830211e-07, 'momentum': 0.5685478902087351, 'batch_size': 16, 'max_epochs': 200, 'patience': 22, 'min_delta': 1e-05, 'loss': 'smooth_l1', 'scheduler': 'none', 'gradient_clip': 5.0}}",90.0,4301.57895741511,COMPLETE
9,36666.31188660478,2026-08-17 17:08:24.456809,2026-08-17 17:08:28.186337,0 days 00:00:03.729528,tanh,False,False,32,0.13439657793338441,onehot,True,2,0.004956141251027008,mse,2.0,0.6404593675258875,rmsprop,standard,none,standard,5.480976835464654e-07,64,512.0,,,False,"{'name': 'T009', 'preprocess': {'numeric_only': False, 'scaler': 'standard', 'encoding': 'onehot', 'feature_engineering': True, 'add_log_features': False, 'winsorize': False, 'min_frequency': 2, 'target_transform': 'standard'}, 'model': {'hidden_layers': [64, 512], 'activation': 'tanh', 'dropout': 0.13439657793338441, 'batch_norm': False, 'optimizer': 'rmsprop', 'learning_rate': 0.004956141251027008, 'weight_decay': 5.480976835464654e-07, 'momentum': 0.6404593675258875, 'batch_size': 32, 'max_epochs': 200, 'patience': 22, 'min_delta': 1e-05, 'loss': 'mse', 'scheduler': 'none', 'gradient_clip': 5.0}}",17.0,4465.957856646069,COMPLETE
