Id,SalePrice,power_lgb_1,power_lgb_2,power_lgb_3,power_lgb_4,power_lgb_5,power_lgb_6,power_lgb_7,power_lgb_8,power_lgb_9,power_lgb_10,power_lgb_11,power_lgb_12
255,145000.0,143267.79812154645,147331.75018584833,143316.14564126814,146703.47550698902,142939.87999862028,143508.34086764627,147706.2150781952,145044.48091968935,147257.2301252139,147059.82097677607,145657.5000938676,143915.78775036184
1067,178000.0,175912.27576722816,176921.09773005813,177476.1669564181,174529.07556590435,174757.28289249452,174678.7842092287,176320.56495110175,177261.1388968377,176119.1337565127,175794.27159733197,177384.61051664603,174844.56578836896
639,85000.0,89646.52373939227,90002.40005109592,88262.9166420955,89088.77911063004,90519.70421974495,90935.32726003914,90879.36569976484,92372.798499063,91995.3348737525,92911.39762007367,89095.38659771021,90557.280766442
800,175000.0,160946.4475345446,149546.24066156123,157938.64181200348,153550.1136205563,162579.99444271871,157902.39642371528,157316.0460302634,154718.74897464033,150086.02587416387,154618.97554455837,157285.76729035462,163462.41711904912
381,127000.0,139799.68955420013,150132.9000677915,136524.8703701913,143955.15573715663,141971.28430399054,140196.18059751327,143445.6131316487,144149.68495116723,146646.96502145377,146782.5907187505,139483.4875310959,137964.60745806296
304,149900.0,126520.13781208082,129839.61134560744,131127.6940235971,131764.0382248204,132774.1471286405,131297.01026826902,130309.87249836634,130461.75774145614,131245.40468486634,132373.80018832133,132066.53718062796,132943.82941800874
87,174000.0,175991.75687413072,178248.9556276445,175368.701226884,176815.00125745847,171764.09949980446,176152.99941017607,176966.1443364062,174148.24550109365,177867.91792034206,175441.67741823356,176478.27719093877,175096.71981729
1386,125500.0,111342.68547557495,109357.89300219102,113171.44651363023,110726.55068809688,110757.91005816891,112048.12918627501,109155.86931006575,111064.89230901208,107206.83680752534,110540.31963674261,113388.15707621924,112037.61216304405
266,175500.0,177565.7076232801,181542.41361658546,178959.03273263635,182961.00815139755,175590.42390000387,180549.84100249002,181501.2482655,180742.1617594471,182947.97423660735,179325.95969169348,182308.47137240935,181093.72148043272
794,225000.0,238491.80952999415,235277.38066837649,233757.68519806047,234094.77274354894,232926.76804411615,238649.28728992358,231326.18232351125,234980.1703727986,230973.17594013832,229743.1737500476,234623.83060995777,234857.78330887342
