Id,SalePrice,repeated_lgb_16,repeated_lgb_23,repeated_lgb_24,repeated_xgb_1,repeated_mlp,catboost,blend
255,145000.0,141624.92192974524,142103.74012705503,141908.16425882923,141653.9375,136924.40815118863,147623.58717531484,142037.19228207556
1067,178000.0,176325.04095552786,174259.4320161648,176028.9285427124,175750.16015625,180002.76777613373,176172.29161659317,176819.23278113437
639,85000.0,92846.40774496694,93800.31024034735,93133.73425418582,94458.4453125,87432.85829430091,93398.4838396396,92177.82714947323
800,175000.0,140050.0626215386,139906.19826355716,143280.45194084325,147308.7734375,157832.21645685943,164528.0126477075,146975.369125292
381,127000.0,147959.35303657094,147884.1973780236,144026.88589659566,143974.01953125,161483.61118244036,146547.0787525776,149623.6694680367
304,149900.0,129169.99501692917,130907.19875017343,130296.66305044429,128273.955078125,131552.31576880303,132855.2420211018,130170.80292022137
87,174000.0,176752.2053957993,180993.68407771614,176624.31788941385,176366.96484375,185271.94180787643,176439.02129549152,177904.35450221825
1386,125500.0,113274.59702235294,114788.4316278086,114025.60019357182,115048.787109375,118085.05524271601,120198.99608481055,115202.46996533852
266,175500.0,176505.60421888565,181082.78451801394,180968.41371314062,178605.08203125,187211.47457655246,183279.66062675172,179242.66982405604
794,225000.0,237410.4268506112,238643.04243939312,232197.81548132375,235954.0078125,230744.88017228793,231836.6521308798,235462.3633950849
1446,129000.0,111878.3170947587,114697.79194432532,115688.81635284571,119039.36328125,122123.54511151522,120741.4636755566,114925.81984995175
809,159950.0,150795.71353484274,150336.06086769828,148676.03418107817,145609.71484375,145389.05695677205,148915.9226579868,149690.6763273343
1100,157000.0,160044.2829469812,166869.8471179781,165812.81002776482,166589.81640625,159376.36688807182,178705.77905767,163306.29624998567
606,205000.0,194707.93485854322,193787.9042334524,188734.88797770045,197083.25,188816.79143343202,188598.67887109512,192773.39656664836
702,140000.0,145337.243816859,144747.0207013302,145941.1036526666,143833.2890625,140834.14138127107,143230.52777793235,144319.5530181308
222,200000.0,213738.10586888704,206024.7398599422,208791.83751732574,205510.37109375,213024.99771935045,208357.5377705692,212669.12023870938
114,217000.0,215445.9331331255,208926.6161226626,201220.79239931353,217556.45703125,228093.1194536538,236648.22722498505,221053.65768336228
549,125000.0,127523.75312037149,124712.45769954896,127527.08117169488,131932.970703125,115828.53816278029,124709.1089720226,125358.55673222747
1074,159500.0,154740.99245587667,153027.49643083094,152001.34068864142,147228.44921875,147790.51741668786,149382.60166177727,152791.2556748617
175,184000.0,171005.34364771907,176916.23122688822,179200.90045313304,176978.375,190138.89352821672,198352.9278655662,178638.5172602063
515,96500.0,96211.47226526489,96794.99687674234,96689.9996490252,93446.12890625,85889.2879984964,96461.84922664565,94792.35715921552
1351,200000.0,175987.51759026438,178977.1268420613,178299.2323247465,172187.0078125,175885.22612582898,175254.39958593654,175841.13775828932
1146,149000.0,131976.36104896016,132310.12930019962,136594.0589315401,132715.322265625,127911.04175347989,131836.12337711663,131374.48979516138
966,178900.0,165373.8028738571,165570.30013533722,166573.61887071092,168338.9375,179834.55342012085,174196.97492207077,169012.0666470116
937,184900.0,182109.0484885396,180080.00440153602,180513.50918198313,181764.4921875,190278.0975396793,186434.36599864296,184045.8090796244
286,164700.0,166665.16450865412,164663.80474630755,166550.79035142533,162723.78125,163718.51460977894,166063.1666366454,166138.91155078087
1311,335000.0,296198.921346638,307242.58193314285,306254.15369421116,302954.75,291952.4668327032,284598.80938610784,293510.00139550515
343,87500.0,80619.10830217788,83930.19210564076,83892.38634793209,79688.359375,89892.41639254792,89430.50109046265,83519.43965685889
1166,233170.0,226655.33098229344,227303.2168584211,227163.5156605142,225949.61328125,221078.4499986737,224464.38761841564,225470.17942357055
32,149350.0,139420.72625638655,140123.6674558514,142321.50194379443,140232.3046875,135843.84005941008,135119.6859503269,138139.7086318239
874,133000.0,128719.06072621347,130700.9739225278,130688.44248492937,130598.51953125,124916.85433155455,133220.51033563918,128989.4385798713
211,98000.0,90476.08197563032,92757.04531996712,91878.28832526307,89052.994140625,82815.0944447653,92466.35449480209,89747.41008168178
925,207500.0,185457.8395492359,189221.31636827692,190804.53737365938,189162.5234375,192106.17522099207,205014.37922960293,189918.62455515508
406,150000.0,162613.03510363074,163703.84288920727,164168.06569155824,154237.06640625,159991.25626677577,151230.05269741596,160193.62391683366
771,134900.0,128672.56659570204,129602.11421996373,131403.62133159488,130741.939453125,135186.6743375449,126511.88045790016,129207.90583260768
382,187750.0,202160.20859951215,200911.78153241356,201079.05075400835,204987.31640625,209321.13808521652,202880.7752935314,203305.56440326248
890,149500.0,157196.1821430272,155049.37969879282,159095.4452036055,150113.31640625,156849.95557955705,159422.09428289274,157547.4595960023
1201,116050.0,105693.32307817355,104483.06723789265,102816.72376550458,100815.421875,107057.17089585587,107042.80287382667,106129.51722517292
189,153337.0,152592.57362223775,156011.89090730413,151451.22221929723,144250.3828125,159430.968653269,155769.54078605358,154134.026792616
894,165000.0,150958.37994643932,150206.80085900248,154261.24820115004,144364.89453125,152563.838920026,159364.90536916084,152698.23811065292
1328,130500.0,130537.8875279075,131845.03515979112,133952.6231388167,131557.97265625,142949.44458060095,137320.18087838718,133518.37816558377
421,206300.0,201549.9031710397,197132.94490301376,194628.30882448575,183598.28125,196287.42308497685,201764.9396078535,200842.12571213688
579,146000.0,160554.84289562507,159948.23990280755,159687.93393726618,160666.6875,147720.26579493872,158760.89097839044,158411.63146434614
