Id,SalePrice,xgb_1,xgb_2,xgb_3,xgb_4,xgb_5,xgb_6,xgb_7,xgb_8,xgb_9,xgb_10,xgb_11,xgb_12,lgb_1,lgb_2,lgb_3,lgb_4,lgb_5,lgb_6,lgb_7,lgb_8,lgb_9,lgb_10,lgb_11,lgb_12,lgb_13,lgb_14,lgb_15,lgb_16,lgb_17,lgb_18,lgb_19,lgb_20,lgb_21,lgb_22,lgb_23,lgb_24,lgb_25,extra_1,ridge_raw,ridge_log,catboost,mlp,super_ensemble
255,145000.0,146124.546875,147397.78125,148043.4375,144932.640625,140073.515625,146609.0625,142758.484375,144807.265625,145696.234375,142317.515625,148016.59375,148340.46875,142452.5977975954,147191.42105410443,144955.64354083693,145676.91929681337,144537.8090603347,145689.95763582207,143059.13329242705,145181.62857348798,144675.40290297577,145489.35364918906,143753.37022613845,142866.81445811767,142952.1409328733,146103.39233062707,141095.74338307237,144038.46806349285,145872.88340610382,146405.43466013263,143334.0658887382,146157.00501898729,144916.5325012206,142687.0517659328,142427.08033768204,140051.29751846817,138360.55461851033,144452.05027853616,138810.15625,140256.640625,147623.58717531484,137517.2035687719,142584.14244825765
1067,178000.0,177567.796875,175871.171875,175858.265625,178697.5,176760.6875,177362.671875,184974.609375,178587.515625,180271.875,177903.890625,179584.53125,179047.0,178477.5185282854,175161.99512923602,180959.90989585998,179911.8866615763,180682.83977646372,180098.1801767558,179070.87492149882,179772.20322205478,180301.04747634163,179492.04163682723,180083.84893631487,179453.1437714705,181561.81862669272,179979.33880648614,181583.68941858018,179674.8750792975,177580.07725008178,179803.03814608586,178700.54334244164,180230.4098578562,175182.15368010956,179239.07995056733,173219.4144572528,173754.43127646737,173785.2925903728,177511.85556711015,182603.8125,178927.03125,176172.29161659317,183300.6261649785,180102.58231281483
639,85000.0,89331.1640625,95780.21875,93444.015625,87666.34375,94304.265625,96465.1796875,93866.6640625,96207.03125,98828.15625,98827.765625,94346.5625,95290.015625,93797.90565030463,99073.75021428263,94841.87091974964,94546.19184100236,96481.1972214379,94634.25754205912,92800.37822383291,96237.83788994788,95002.2615104042,94156.68139220843,95236.41075525757,90718.57654816819,92424.92532852839,91072.45478046234,93107.8445063634,91606.99964877551,95131.87672498486,92385.92624473172,96945.0396169504,90636.46435893534,101721.16825051709,92710.29753456565,94243.38341156208,90433.27138611523,90999.63097697975,101699.3497783962,89597.2265625,94200.0859375,93398.4838396396,85210.89213384187,90274.22952102078
800,175000.0,149110.8125,152854.203125,144744.09375,153898.140625,153489.046875,144551.796875,146248.765625,151106.03125,148927.453125,155188.8125,147930.703125,154911.859375,146333.81069190707,144884.55415974135,148360.97746884404,144330.8914233038,144941.37247369112,149444.84125081293,151176.71501976842,151334.71383558967,146187.69303220915,146057.96402407397,151285.44364108652,145223.3350156545,145912.87018770204,153857.5760291774,148679.4586199136,138787.39382589306,144561.76354148152,146356.14981509812,141476.2904738242,152514.23756849676,140222.1208922236,144434.63682889412,136046.34003004245,149293.72093262515,143990.21913628478,151096.78177492047,154777.96875,165287.953125,164528.0126477075,158602.99543495133,143701.35241313238
381,127000.0,141920.375,138993.78125,145383.109375,142853.53125,145363.703125,140648.984375,138088.46875,148776.171875,140071.96875,140311.40625,148442.890625,147319.90625,144578.29148248522,136110.01673132935,143278.87241601356,142576.4849731732,145560.01529868523,143750.78494868224,150109.92614288078,148038.091366984,139373.37994567514,145783.68825003243,147474.92927793835,143715.64911372386,141724.69732307878,144167.01958920245,141915.42188347946,148991.54999526023,145255.76003083377,153073.03855491395,141677.215891797,143037.03437833837,138754.1918103106,141112.46897387848,147161.03471769305,137931.16691255657,144294.85758339518,148089.40437209618,155905.8125,165939.78125,146547.0787525776,165189.85222048662,151782.46860824217
304,149900.0,130082.6875,130572.265625,133242.984375,125589.125,129710.796875,135103.734375,132776.953125,140529.9375,136385.5625,134039.09375,137712.765625,139130.609375,133765.18847024004,128565.42946219096,138667.00166663004,132835.01798904748,134157.99058230149,138053.57585986893,129794.6907655449,136304.24272358106,135160.67379888077,136217.80135775817,135461.03327724576,135376.6749248637,135702.14576222553,130062.76680150905,135416.34664970843,132459.55901712037,137451.78897268727,135618.28313170385,135453.8058300267,131025.64602294995,134223.16501603444,135275.11998515928,135427.18851325574,136208.5417019809,137376.3997040596,132248.79039720696,144917.140625,132319.984375,132855.2420211018,133169.88124825794,132775.7663798036
87,174000.0,176767.421875,169829.4375,174712.34375,175692.96875,171904.28125,174693.015625,171397.96875,161143.90625,173736.453125,171137.375,167506.734375,166719.453125,174770.655766003,174956.86357153178,172828.80927427544,175927.98336527564,175587.75240029747,175557.32247450156,176643.31433140583,179481.95495984986,174797.7723433747,177855.8012208319,178318.4442365304,176906.47467721728,173815.89443999523,176520.65065397017,170708.10341963448,176257.2401415725,176172.28976652058,172052.2260565504,178975.90595018052,175816.11765594897,183818.45863177394,179844.06863046723,182353.81650688875,176946.74697954732,178377.62342785852,178186.80918316377,181079.8125,179880.875,176439.02129549152,186837.4784883187,178455.40041972772
1386,125500.0,109759.3125,113074.5859375,116182.0078125,112410.8671875,117937.2578125,114799.75,115139.9765625,112584.0546875,113868.3828125,113402.2578125,110218.9296875,108316.203125,110250.7378513615,114387.3088594791,111114.67973186624,112246.80292917018,107577.83957511267,110576.25250689047,110738.01281863559,108465.07755282779,114258.8196497615,108086.06241767501,110567.3955091246,110785.30340649695,112469.61298722331,110753.8703339908,115982.23850442767,110476.00459375417,110452.35457587679,111768.48579010728,113622.83324476347,113776.79877456822,108926.31043813299,106964.13440647564,111099.51421542735,109328.8562143695,110637.54047460714,116806.67385383595,116528.328125,112954.734375,120198.99608481055,114952.99413240183,111491.82647208762
266,175500.0,181063.109375,177209.484375,181176.59375,180796.53125,170442.609375,179228.46875,180809.453125,178494.078125,183267.09375,186696.78125,185929.46875,185154.0625,178605.21047624887,174034.62826158004,180097.27217156717,184810.92168498377,182450.5002517924,180125.82693745583,174504.9079850611,174450.99297625714,182666.01584110042,180817.77183822,178502.01873779183,179374.41577632684,178988.02215734762,176807.32318282826,181538.5613681388,173873.04776674273,183775.86949722734,179478.4794256758,181950.8252811962,184448.7680951695,184665.6042099326,178651.61215047343,180267.91297278518,178574.16430298952,177316.37033849553,178427.45891613996,186717.59375,175512.28125,183279.66062675175,178321.9570744516,175135.23436582964
794,225000.0,232318.828125,236061.28125,240497.828125,230229.453125,228035.109375,238129.984375,233354.6875,231435.09375,233198.0625,234449.546875,236756.453125,232156.15625,226513.61672447113,229893.9063535416,230750.23330452907,234583.62349022203,226601.7354501615,236962.7377123506,234242.4081730418,232377.90533270923,233457.41517870835,230997.41364977154,226518.40868983488,229887.40424679898,235656.25511036353,229371.96103110054,229123.7236371654,232739.14817821415,228166.1204297958,226409.60646720335,235076.1550605188,227354.32910855816,226347.52585378333,225529.23451400182,224989.17156647154,229718.55079010935,218691.81239665838,229025.73375566892,233559.9375,228640.046875,231836.6521308798,223971.17001201893,230798.2713487986
